source	target	polarity
pubchem.compound:439501	ncbigene:476	-1
pubchem.compound:60795	ncbigene:151	-1
pubchem.compound:3899	ncbigene:2185	-1
pubchem.compound:3354	ncbigene:1129	-1
pubchem.compound:5743	ncbigene:190	1
pubchem.compound:3948	ncbigene:7153	-1
pubchem.compound:4201	ncbigene:3758	1
pubchem.compound:4167	ncbigene:1133	-1
pubchem.compound:60854	ncbigene:3354	-1
pubchem.compound:5291	ncbigene:1436	-1
pubchem.compound:4737	ncbigene:2563	1
pubchem.compound:446541	ncbigene:3614	-1
pubchem.compound:6013	ncbigene:367	1
pubchem.compound:564	ncbigene:5327	-1
pubchem.compound:2477	ncbigene:1815	-1
pubchem.compound:9829523	ncbigene:5578	-1
pubchem.compound:5073	ncbigene:151	-1
pubchem.compound:3121	ncbigene:7915	-1
pubchem.compound:2265	ncbigene:3251	-1
pubchem.compound:60606	ncbigene:64805	-1
pubchem.compound:6918638	ncbigene:3066	-1
pubchem.compound:4075	ncbigene:5743	-1
pubchem.compound:4497	ncbigene:196	1
pubchem.compound:3108	ncbigene:100	-1
pubchem.compound:5284513	ncbigene:6257	1
pubchem.compound:4091	ncbigene:2819	-1
pubchem.compound:4943	ncbigene:2563	1
pubchem.compound:3410	ncbigene:154	1
pubchem.compound:25126798	ncbigene:3716	-1
pubchem.compound:5342	ncbigene:1244	-1
pubchem.compound:5994	ncbigene:4306	-1
pubchem.compound:146570	ncbigene:147	-1
pubchem.compound:3559	ncbigene:1814	-1
pubchem.compound:54746	ncbigene:1815	1
pubchem.compound:44462760	ncbigene:150094	-1
pubchem.compound:4184	ncbigene:3363	-1
pubchem.compound:3784	ncbigene:776	-1
pubchem.compound:12035	ncbigene:2903	1
pubchem.compound:4205	ncbigene:150	-1
pubchem.compound:20279	ncbigene:5422	-1
pubchem.compound:56959	ncbigene:146	-1
pubchem.compound:44093	ncbigene:4048	-1
pubchem.compound:60854	ncbigene:1813	-1
pubchem.compound:5311181	ncbigene:5141	1
pubchem.compound:4737	ncbigene:2554	1
pubchem.compound:9444	ncbigene:1786	-1
pubchem.compound:6918837	ncbigene:9759	-1
pubchem.compound:5717	ncbigene:10800	-1
pubchem.compound:5833	ncbigene:59284	-1
pubchem.compound:6000	ncbigene:3359	-1
pubchem.compound:3290	ncbigene:116443	-1
pubchem.compound:71360	ncbigene:3363	-1
pubchem.compound:3371	ncbigene:5465	1
